COMPANY;FUND;INVESTMENT MIN;INVESTMENT MAX;COUNTRY;ADDRESS;ZIP;CITY;STATE;PHONE;FAX;EMAIL;WEBSITE;STAGE;INDUSTRY PREFERENCES;INVESTOR TYPES;COMMENTS;MANAGEMENT TEAMNAME;PHONES;EMAILS
Harith General Partners;;10000000;35000000;South africa;1 Chislehurston 34 Impala Road Chislehurston;2196;Sandton;;;;Pule.Molebeledi@Harith.co.za;http://www.harith.co.za;Early Stage,Expansion,Later Stage,Leveraged Buyout,Management Buyout,Restructuring,Series B;Agriculture,Business Products,Cellular (applications, devices and infrastructure) ,Cleantech,Communication &amp  Computer Networks,Diversified,Energy &amp  Natural Resources,Financial Services,Government Services,Industrial Services,Manufacturing,Mining,Real Estate, Construction &amp  Infrastructure,Technology,Transportation;Business Lender,Private Equity Firm,Private Investor,Venture Capital Firm;;Alwyn Wessels Chief Investment Officer,Anthony Ball Director,Ignatius Sehoole Non- Executive Director,Lungile Constance “Zee” Cele Chairperson: Audit and Risk Committee,Michael Olivier Director,Phillip Jabulani Moleketi Chairperson,Tshepo Mahloele Chief Executive Officer;;
Horizon Equity Partners ;500000000;7000000;;South africa; Two Commerce Square                                                    39 Rivonia Road;2196;Sandton;;;+  27 (0)11-268-2275; info@horizonequity.co.za;http://www.horizonequity.co.za;Early Stage,Expansion,Leveraged Buyout,Management Buyout,Seed,Series A,StartUp;Business Products,Business Services,Cellular (applications, devices and infrastructure) ,Communication &amp  Computer Networks,Computer Hardware,Consumer Products,Distribution,Electronics,Energy &amp  Natural Resources,Financial Services,Food &amp  Ingredients,Healthcare,Internet,Manufacturing,Media &amp  Entertainment (Including Television, Radio, Newspapers, Internet &amp  Film Production),Medical Services,Mining,Retail and wholesale,Technology,Transportation;Business Lender,Private Equity Firm,Private Investor,Venture Capital Firm;;Garth Jarvis, Managing Director,Richard Flett, Managing Director,Shelley Lotz, Finance Manager;;
Medu Capital;900000000;;;South africa;2 Fricker Road, Ground Floor Illovo Boulevard, Illovo, Sandton;2001;Johannesburg;;;+27 11 268 9145;;http://www.meducapital.co.za;Consolidation,Early Stage,Expansion,Later Stage,Leveraged Buyout,Management Buyout,Mezzanine,Recapitalization,Restructuring,Seed,Series A,Series B,StartUp;Business Products,Consumer Products,Healthcare,Industrial Products,Industrial Services,Manufacturing,Medical Services,Mining,Semiconductors;Angel Investor,Business Lender,Private Equity Firm,Private Investor,Venture Capital Firm;;Annabelle Satterly CFO,Ernest January Co-Founder and Director,Nhlanganiso Mkwanazi Co-Founder and Director,Siyabonga Nhlumayo Principal;;
Novare Equity Partners (Pty) Ltd;;;;South africa;3rd Floor The Cliffs Office Block 1 Niagara Way, Tyger Falls Carl Cronje Drive;7530;Bellville;;;+27 (0) 21 914 7733;alida@novare.com;http://www.novare.com;Early Stage,Expansion,Later Stage,Leveraged Buyout,Management Buyout;Diversified;Private Equity Firm,Private Investor,Venture Capital Firm;;Edward Nathan Sonnenbergs Deputy Chief Executive ,Mr. DA Roper Executive Director, CEO,Mr. ET Nxumalo	 Non-Executive Director,Mr. JJ Henn	 Deputy Chairman,Mr. M Mgudlwa Independent Chairman,Mr. MN Thobejane	 Non-Executive Directo;;
Paean Private Equity;;6000000;125000000;South africa;PO Box 1094,;2052;Gallo Manor;;;;avril@paean.co.za;http://www.paean-private-equity.co.za;Later Stage,Leveraged Buyout,Management Buyout,Series B;Business Products,Business Services,Consumer Products,Distribution,Energy &amp  Natural Resources,Enthusiast, Craft &amp  Hobby Products,Government Services,Industrial Services,Mining,Real Estate, Construction &amp  Infrastructure,Retail and wholesale,Tourism &amp  Hotels,Transportation;Private Equity Firm,Private Investor;;;;
Pan-African Private Equity 1 Fund Managers (Pty) Ltd (PAPE);;;;South africa;2nd Floor, Summit Square, 15 School Road,;2196;Morningside ;;;;enquiries@pan-african.co.za;http://www.pan-african.co.za;Consolidation,Early Stage,Expansion,Later Stage,Leveraged Buyout,Management Buyout,Mezzanine,Recapitalization,Restructuring,Seed,Series A,Series B,StartUp;Agriculture,Business Products,Business Services,Distribution,Financial Services,Food &amp  Ingredients,Food and Beverage (Including: Restaurant, coffee, Bakery, Bar, Buffer, Deli, Fast Food &amp  Ice cream),Government Services,Healthcare,Industrial Products,Industrial Services,Manufacturing,Medical Services,Mining,Pharmaceuticals,Real Estate, Construction &amp  Infrastructure,Technology,Transportation;Angel Investor,Business Lender,Private Equity Firm,Private Investor,Venture Capital Firm;;Chris Hock, Head Structured Finance,De Villiers Botha, Executive Director,Iraj Abedian, Founder,Zuko Kubukeli, Executive Director;;
Pembani Remgro Infrastructure Managers;;;;South africa;Millennia Park 16 Stellentia Avenue;7600;Stellenbosch;;;+27 21 888 3399;info@remgro.com;http://remgro.com;;;;;;;
RMB Corvest;;8600000;86000000;South africa;8 Melville Road;2196;Illovo;;+27 87 700 4249;+27 11 380 8310;info@rmbcorvest.co.za;http://www.rmbcorvest.co.za;;Business Services,Consumer Services,Education,Enthusiast, Craft &amp  Hobby Products,Financial Services,Food &amp  Ingredients,Government Services,Healthcare,Industrial Services,Insurance,Leisure Products and Services,Manufacturing,Media &amp  Entertainment (Including Television, Radio, Newspapers, Internet &amp  Film Production),Medical Services,Pharmaceuticals,Real Estate, Construction &amp  Infrastructure,Retail and wholesale;Private Investor,Venture Capital Firm;;Arnold van Wyk,Benedikta Nakos,Brendan Wiebols,Christine Moodley,Dick Merks,Francois Cilliers,Genevieve Alberts,Kamo Mogase,Martin Coetzee,Mike Donaldson,Neil Page,Phumi Twantwa,Shaun Cabrita,Stephen Brown;;
RMB Leveraged Finance;;;;South africa;1 Merchant Place Cnr Fredman Drive  & Rivonia Road;2196;Sandton;;;27 11 282 8008;info@rmb.co.za;http://www.rmb.co.za/weFinance.asp;;;;;;;
Zico Capital (Pty) Ltd;;;;South africa;1st floor, Block B,  Cullinan Place, 2 Cullinan Close, Morningside,;2146;Sandton;;+27 11 217 3300;+27 11 883 6527 ;info@zico.co.za;http://www.zico.co.za/Pages/ContactUs.aspx;;Business Products,Business Services,Cleantech,Communication &amp  Computer Networks,Energy &amp  Natural Resources,Financial Services,Industrial Services,Insurance,Media &amp  Entertainment (Including Television, Radio, Newspapers, Internet &amp  Film Production),Medical Services,Mining;Private Equity Firm,Private Investor;;Alton Solomons CA (SA), CFA Non Executive Director,Charl Ferreira BCom, CA (SA) Executive Director: Mining,Geoffrey Nzau BSc, FIA Non Executive Director,Jan-Jan Bezuidenhout BCom, LLB Non Executive Director,Lusanda Dube BCom CA (SA) Executive Director: Finance,Sandile Zungu BSc Mech Eng, MBA (UCT) Chairman,Tshego Sefolo BCom, CA (SA), MBA (Wits) Managing Director;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Mike Miskin;;;;;;;;;;;mikem@lynklabs.com;;;;;;;;
Erik S. Oh;;;;;;;;;;;erik@reviewconcierge.com;;;;;;;;
Mike Miskin;;;;;;;;;;;mikem@lynklabs.com;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Grove Ventures;100000000;3000000;3000000;Israel;8, Raoul Wallenberg St,;;Tel Aviv-Yafo;; +97235406060;;Tal@grovevc.com;http://grovevc.com/;Early Stage,Seed;Manufacturing,Software,Technology;Venture Capital Firm;;Peter Mills, Managing Director,Matt Horton, Principal;978.658.8980,978.658.8980;bizplans@ventures.com,bizplans@ventures.com
Puma Brandenburg Limited;100000000;2000000;2000000;United Kingdom;Borough House  Re Du Pre  Suite 6  St. Peter Port,  GY1 3RH;;Guernsey;England;44 14 8173 7911;;compliance@shorecap.co.uk;http://www.pbhl.gg/;Later Stage,Consolidation,Expansion;Real Estate, Construction & Infrastructure;Private Equity Firm;;Morton H. Meyerson, Chief Executive Officer and Chairman,Ian Trumpower, Chief Financial Officer and General Counsel,Joe Boyd, Advisor,Dr. Adam T. Drobot, Advisor,Judy Lewent, Advisor,Tom Luce, Advisor,Meredith Marks, Advisor,Jack Martin;(214) 443-5900,(214) 443-5900,(214) 443-5900,(214) 443-5900,(214) 443-5900,(214) 443-5900,(214) 443-5900,(214) 443-5900;
Backstage Capital;100000000;2000000;2000000;United States of America;West Hollywood;;;Alabama;;;;https://backstagecapital.com/;Early Stage,Seed;Distribution,Industrial Products,Industrial Services;Venture Capital Firm;;Morton H. Meyerson, Chief Executive Officer and Chairman,Ian Trumpower, Chief Financial Officer and General Counsel,Joe Boyd, Advisor,Dr. Adam T. Drobot, Advisor,Judy Lewent, Advisor,Tom Luce, Advisor,Meredith Marks, Advisor,Jack Martin;(214) 443-5900,(214) 443-5900,(214) 443-5900,(214) 443-5900,(214) 443-5900,(214) 443-5900,(214) 443-5900,(214) 443-5900;
Holland Venture;10000000;3000000;3000000;Netherlands;Franz Zieglerstraat 24 1087 HN;; Amsterdam;;+31 (0) 20 3119411;;info@hollandventure;https://hollandventure.com/EN/;Early Stage,Seed,StartUp;Healthcare,Technology;Private Equity Firm;;;;
Rocket Internet;100000000;2000000;2000000;Germany;Charlottenstraße 4 10969;;Berlin Deutschland;;;;info@rocket-internet.com;https://www.rocket-internet.com/;Early Stage,Consolidation,Expansion,Recapitalization;Communication & Computer Networks,Internet,IT Services,Software;Venture Capital Firm;;Morton H. Meyerson, Chief Executive Officer and Chairman,Ian Trumpower, Chief Financial Officer and General Counsel,Joe Boyd, Advisor,Dr. Adam T. Drobot, Advisor,Judy Lewent, Advisor,Tom Luce, Advisor,Meredith Marks, Advisor,Jack Martin;(214) 443-5900,(214) 443-5900,(214) 443-5900,(214) 443-5900,(214) 443-5900,(214) 443-5900,(214) 443-5900,(214) 443-5900;
FutuRx The Biotech Accelerator;10000000;2000000;2000000;Israel;2 Ilan Ramon St. , 3rd Floor, P.O.Box 4044, Ness Ziona 7403635;;;;+972-8-9553100;+972-8-9553111;info@futurx.co.il;https://www.futurx.co.il/;Early Stage;Biotechnology,Healthcare,Pharmaceuticals;Private Equity Firm;;;;
 Eskom Holdings SOC Ltd;10000000;2000000;2000000;Uganda; Njeru, Uganda,;;;;+27118008111;;customerservices@eskom.co.za;http://www.eskom.co.za/Pages/Landing.aspx;Consolidation,Recapitalization;Electronics,Energy & Natural Resources,Industrial Services;Venture Capital Firm;;;;
NextGEn Venture Partners ;1000000000;50000000;50000000;United States of America; Washington DC Metro Area;;;Alabama;;;;https://nextgenvp.com/;Early Stage,Seed;Business Products,Business Services,Electronics,Consumer Services,Healthcare,Medical Devices,Software,Technology;Venture Capital Firm;;;;
Arbor Ventures;25000000;150000;150000;United Kingdom;16 Great Queen Street  Covent Garden  London,  WC2B 5AH;;;England;;;info@arborventures.com;http://www.arborventures.co.uk/;Early Stage,Seed;Electronics,Technology;Venture Capital Firm;;Wayne K. Barz Manager, Entrepreneurial ,Louise A. Brong Manager, Client Services;800-445-9515,800-445-9515;info@nep.benfranklin.org,nfo@nep.benfranklin.org
lool Ventures ;100000000;5000000;5000000;Israel;Tushiya 2, 4th floor;;Tel Aviv – Yafo;;;;info@lool.vc;https://lool.vc/;Early Stage,Seed;IT Services,Software,Technology;Venture Capital Firm;;;;
AngelPad ;1400000000;10000000;10000000;United States of America; San Francisco Bay Area;;;Alabama;;;thomas@angelpad.org;https://angelpad.org/;Early Stage,Seed;Electronics,Consumer Products,Healthcare,Software,Technology,Cellular (applications, devices and infrastructure) ;Venture Capital Firm;;;;
SmartCap;1500000;2000000;2000000;Estonia;Hobujaama 4, Tallinn 10151, Eesti ;;;;;;info@smartcap.ee;http://www.smartcap.ee/;Seed,Consolidation,Recapitalization;Business Services,Electronics,Technology;Private Equity Firm;;;;
Investors' Circle;6500000;1000000;1000000;United States of America;Investors' Circle 165 11th Street;;San Francisco, CA 94103;Alabama;415-255-6844;;inbox@investorscircle.net;https://www.investorscircle.net/;Early Stage,Seed;Business Services,Distribution,Education,Energy & Natural Resources,Environment,Healthcare;Venture Capital Firm;;Drew Schwarz;425-522-3746;dschwarz@lightercapital.com
Gathering of Angels;39000000;1500000;1500000;United States of America;#4 Hawthorne Circle;;Santa Fe, NM;Alabama;505-982-3050;;tbryant@nm.net;http://www.gatheringofangels.com/;StartUp,Series B,Series A;Business Products,Business Services,Consumer Services;Angel Investor;;;;
Silicon Garden Angels Investors Network;100000000;6000000;6000000;United States of America;32 Cedar Brook Dr.;;Somerset, NJ;Alabama;732-873-1955;;angels@njangels.net;http://njangels.net/;Early Stage,Seed;Agriculture,Consumer Products,Consumer Services,Food & Ingredients,Healthcare,Pharmaceuticals,Technology;Venture Capital Firm,Angel Investor;;;;
Tech Valley Angel Network (TVAN);10000000;1000000;1000000;United States of America;Tech Valley Angel Network 63 State Street;;Albany, NY 12207;Alabama;518-465-8975;;info@techvalleyangels.com;http://www.techvalleyangels.com/06index.cfm;Early Stage,Seed;Business Products,Business Services,Distribution,Consumer Products,Consumer Services,Financial Services;Venture Capital Firm,Angel Investor;;;;
The Angels' Forum;100000000;1000000;1000000;United States of America;The Angels' Forum PO Box 1605 Los Altos;;California;Alabama;650-857-0700;;inquiries@AngelsForum.com;http://angelsforum.com/;Early Stage,StartUp;Business Products,Consumer Products,Industrial Products,Industrial Services,Internet,Medical Devices,Medical Services,Pharmaceuticals,Software,Technology,Telecommunication;Venture Capital Firm,Angel Investor;;;;
Houston Angel Network;100000000;2000000;2000000;United States of America;410 Pierce Houston;;Texas;Alabama;832-476-9291;;mweisblatt@houstonangelnetwork.org;http://houstonangelnetwork.org/;Early Stage,StartUp;Business Products,Business Services,Distribution,Consumer Services,Food and Beverage (Including: Restaurant, coffee, Bakery, Bar, Buffer, Deli, Fast Food & Ice cream),Leisure Products and Services,Medical Services,Pharmaceuticals,Retail and wholesale,Technology;Venture Capital Firm,Angel Investor;;;;
RiverPark Ventures;8000000;500000;500000;United States of America;156 West 56th Street, 17th Floo;;New York, New York;Alabama; 888.564.4517;;skrug@riverparkfunds.com;https://riverparkvc.com/;Early Stage;Business Products,Business Services,Industrial Products,Industrial Services,Manufacturing;Venture Capital Firm;;;;
Slack Fund;1000000;600000;600000;;;;;;;;info@slacks.com;https://slack.com/developers/fund;Early Stage,Seed;Business Products,Business Services,Consumer Products,Industrial Services;Business Lender;;;;
Reach Capital;1000000;500000;500000;United States of America;Palo Alto, CA ;;California;Alabama;;;info@reachcap.com;http://reachcapital.com/;Early Stage,Seed,Series B,Series A;Education,Software,Technology;Venture Capital Firm;;;;
360 Capital Partners;10000000;8000000;8000000;France;13 Avenue de l’Opéra 75001;; Paris  ;; +33 0 1 71 18 29 12;;info@360capitalpartners.com;http://www.360capitalpartners.com/;Early Stage,Seed;Business Products,Business Services,Distribution,Consumer Products,Consumer Services,Food & Ingredients,Food and Beverage (Including: Restaurant, coffee, Bakery, Bar, Buffer, Deli, Fast Food & Ice cream),Industrial Products,Industrial Services,Leisure Products and Services,Technology,Advertising & Marketing;Venture Capital Firm;;;;
360 Capital Partners Italy;10000000;8000000;8000000;Italy;Via Brisa 3 20123;;Milan;;+39 02 36 56 09 50;;info@360capitalpartners.com;http://www.360capitalpartners.com/;Early Stage,Seed;Business Products,Distribution,Consumer Products,Consumer Services,Food & Ingredients,Food and Beverage (Including: Restaurant, coffee, Bakery, Bar, Buffer, Deli, Fast Food & Ice cream),Industrial Services,Technology,Advertising & Marketing;Venture Capital Firm;;;;
University Ventures;1000000;400000;400000;United States of America;303 Spring Street;;New York, New York;Alabama; 212-202-3100;;info@universityventures.com;http://universityventures.com/;Early Stage;Computer Services,Education,Software,Technology;Private Equity Firm,Angel Investor;;;;
Beenext Pte. Ltd.;2000000;1000000;1000000;Singapore;;;;;;;info@beenext.com;https://www.beenext.com/;Early Stage,Seed;Biotechnology,Business Products,Business Services,Electronics,Industrial Services,Technology;Venture Capital Firm;;;;
Vanedge Capital;10000000;5000000;5000000;Canada;750-1333 West Broadway  Suite 750;;Vancouver;Alberta;604-569-3813;;info@vanedgecapital.com;https://www.vanedgecapital.com/;Early Stage,Later Stage,Seed;Software,Technology,Cellular (applications, devices and infrastructure) ,Video Games;Venture Capital Firm;;;;
Susa Ventures;50000000;25000000;25000000;United States of America;530 Hampshire St #301;;San Francisco, CA ;Alabama; 310-413-7398;;pitches@susaventures.com;http://susaventures.com/;Early Stage,Seed;Biotechnology,Education,Consumer Services,Healthcare,Insurance,Medical Devices,Medical Services,Software,Technology;Venture Capital Firm;;;;
Talis Capital;10000000;10000000;10000000;;Suite 4 Rowan Court  56 High Street;;Wimbledon  London;;44 2035 426 260;44 2089 447 264;info@taliscapital.com;https://www.taliscapital.com/our-story#home-intro;Early Stage,Seed;Biotechnology,Business Products,Business Services,Cleantech,Computer Services,Computer Hardware,Electronics,Communication & Computer Networks,Energy & Natural Resources,Internet,IT Services,Software,Technology,Telecommunication,Cellular (applications, devices and infrastructure) ;Venture Capital Firm,Private Equity Firm;;;;
General Catalyst;50000000;30000000;30000000;United States of America;20 University Road  Fourth Floor  Suite 450;;Cambridge, MA ;Alabama;617-234-7000;617-234-7040;gcinfo@generalcatalyst.com;https://www.generalcatalyst.com/;Early Stage,Later Stage,Seed;Biotechnology,Business Services,Cleantech,Computer Hardware,Communication & Computer Networks,Consumer Products,Consumer Services,Energy & Natural Resources,Environment,Financial Services,Healthcare,Internet,IT Services,Leisure Products and Services,Medical Devices,Medical Services,Software,Technology,Cellular (applications, devices and infrastructure) ,Advertising & Marketing,Government Services;Venture Capital Firm;;;;
M25 Group LLC;10000000;10000000;10000000;United States of America;111 West Kinzie Street Floor 17;;Chicago;Alabama;;;victor.gutwein@m25vc.com;https://m25vc.com/;Early Stage,Seed;Education,Consumer Products,Financial Services,Food & Ingredients,Food and Beverage (Including: Restaurant, coffee, Bakery, Bar, Buffer, Deli, Fast Food & Ice cream),Healthcare,Insurance,Manufacturing,Real Estate, Construction & Infrastructure,Software,Advertising & Marketing,Government Services;Venture Capital Firm;;;;
Passion Capital;32000000;25000000;25000000;United Kingdom;2nd Floor  White Bear Yard  144a Clerkenwell Road;;London;England;;;info@passioncapital.com;http://www.passioncapital.com/;Early Stage,Seed;Internet,Media & Entertainment (Including Television, Radio, Newspapers, Internet & Film Production),Technology,Telecommunication,Cellular (applications, devices and infrastructure) ;Venture Capital Firm;;;;
Business Growth Fund;100000000;12000000;12000000;United Kingdom;45 Church Street;;Birmingham;England;+03452668860;;enquiries@businessgrowthfund.co.uk;https://www.bgf.co.uk/;Early Stage,Seed;Education,Electronics,Consumer Products,Consumer Services,Energy & Natural Resources,Healthcare,Industrial Products,Leisure Products and Services,Life Sciences,Manufacturing,Media & Entertainment (Including Television, Radio, Newspapers, Internet & Film Production),Software,Technology,Tourism & Hotels;Venture Capital Firm,Private Equity Firm;;;;
Tengelmann Ventures;40000000;40000000;40000000;Germany;Wissollstraße 5- 43  Mülheim an der Ruhr,  45478;;;;;;ideas@tev.de;https://www.tev.de/;Early Stage,Later Stage,Seed;Consumer Products,Consumer Services,Internet,Software,Technology;Venture Capital Firm,Private Equity Firm;;;;
Axilor Ventures;10000000;5000000;5000000;India;;;Bengaluru;;+918049252400;;payal@axilor.com;http://axilor.com/;Early Stage,Seed;Cleantech,Financial Services,Healthcare,Internet,Life Sciences,Software,Technology;Venture Capital Firm,Angel Investor;;;;
Zetta Venture Partners;50000000;5000000;5000000;United States of America;473 Jackson Street  2nd Floor;;San Francisco, CA;Alabama;;;info@zettavp.com;http://zettavp.com/;Early Stage,Seed,Series A;Communication & Computer Networks,Software,Technology,Cellular (applications, devices and infrastructure) ;Venture Capital Firm;;;;
Arena Ventures;500000000;5000000;5000000;United States of America;708 North Croft Avenue  West Hollywood, ;;California;Alabama;;;info@arenavc.com;https://arenavc.com/;Early Stage,Later Stage,Seed,StartUp;Agriculture,Education,Consumer Services,Healthcare,Leisure Products and Services,Medical Services,Technology,Cellular (applications, devices and infrastructure) ;Venture Capital Firm;;;;
Seventure Partners;30000000;22000000;22000000;France;5-7 rue de Monttessuy  Cedex 07;;Paris;;+33 1 58 19 22 70;;contact@seventure.fr; www.seventure.fr;Early Stage,Later Stage;Agriculture,Biotechnology,Cleantech,Energy & Natural Resources,Environment,Food & Ingredients,Healthcare,Internet,IT Services,Life Sciences,Medical Services,Software,Technology,Cellular (applications, devices and infrastructure) ;Venture Capital Firm,Private Equity Firm;;;;
KOHLBERG KRAVIS ROBERTS & CO. PARTNERS LLP;57500000000;100000000;100000000;United Kingdom;Stirling Square 7 Carlton Gardens;;London;England;+ 33 1 53 53 96 00;;investor-relations@kkr.com;http://www.kkr.com/businesses/private-equity;Later Stage;Business Services,Energy & Natural Resources,Financial Services,Healthcare,Industrial Products,Media & Entertainment (Including Television, Radio, Newspapers, Internet & Film Production),Retail and wholesale,Technology,Telecommunication,Cellular (applications, devices and infrastructure) ;Private Equity Firm;;;;
 KKR & Co. (Kohlberg Kravis Roberts & Co.);57500000000;100000000;100000000;France;SAS 42 Avenue Montaigne;; Paris  ;;+ 33 1 53 53 96 00;;investor-relations@kkr;http://www.kkr.com/businesses/private-equity;Later Stage;Business Services,Energy & Natural Resources,Financial Services,Healthcare,Industrial Products,Media & Entertainment (Including Television, Radio, Newspapers, Internet & Film Production),Retail and wholesale,Technology,Telecommunication,Cellular (applications, devices and infrastructure) ;Private Equity Firm;;;;
Detroit Venture Partners;75000000;25000000;25000000;United States of America;1555 Broadway Street  3rd Floor;;Detroit;Alabama;313-373-7751;;info@detroit.vc;http://detroit.vc/;Early Stage,Seed,StartUp;Biotechnology,Consumer Services,Internet,Manufacturing,Media & Entertainment (Including Television, Radio, Newspapers, Internet & Film Production),Software,Technology,Cellular (applications, devices and infrastructure) ;Venture Capital Firm;;;;
 BBG Ventures;100000000;5000000;5000000;United States of America;;;New York, NY;Alabama;;;hello@bbgventures.com;https://www.bbgventures.com/;Early Stage,Seed;Internet,Software,Technology,Cellular (applications, devices and infrastructure) ;Venture Capital Firm;;;;
Real Ventures;100000000;75000000;75000000;Canada;51 Sherbrooke Street West;;Montreal;Alberta;;;hello@realventures.com;https://realventures.com/;Seed;Computer Hardware,Education,Financial Services,Healthcare,Internet,IT Services,Software,Technology,Cellular (applications, devices and infrastructure) ,Video Games;Venture Capital Firm,Angel Investor;;;;
Danhua Capital;100000000;5000000;5000000;United States of America;684 San Juan Street;;Palo Alto;Alabama;;;info@dh.vc;http://dh.vc/home;Early Stage,Later Stage,Seed,StartUp;Internet,Software,Technology,Cellular (applications, devices and infrastructure) ;Venture Capital Firm;;;;
HV Holtzbrinck Ventures;40000000;5000000;5000000;Germany;Kaiserstraße 14b;80801;Munich;; 49 89 20 60 7 751;49 89 20 60 7 702;businessplan@holtzbrinck.net;https://www.hvventures.com/;Early Stage,Later Stage,Seed;Consumer Services,Financial Services,Internet,Technology,Cellular (applications, devices and infrastructure) ;Venture Capital Firm,Private Equity Firm;;;;
Bpifrance;76000000;7000000;7000000;France;137 rue de l'Université;; Paris  ;;33 1 58 50 71 71;33 1 58 50 07 74;F3A@bpifrance.fr;https://www.bpifrance.fr/;Early Stage,Seed,Mezzanine;Biotechnology,Business Products,Business Services,Education,Energy & Natural Resources,Food & Ingredients,Food and Beverage (Including: Restaurant, coffee, Bakery, Bar, Buffer, Deli, Fast Food & Ice cream),Healthcare,Technology;Private Equity Firm,Business Lender;;;;
East Ventures;100000000;5000000;5000000;Singapore;;;;;;;info@east.vc;http://east.vc/;Early Stage,Seed;Software,Technology,Cellular (applications, devices and infrastructure) ;Venture Capital Firm;;;;
Global Founders Capital;10000000000;12000000;12000000;Luxembourg;5 Heienhaff  Senningerberg;1736;Luxembourg City;;;;contact@globalfounderscapital.com;https://www.globalfounders.vc/;Early Stage,Later Stage,Seed;Communication & Computer Networks,Consumer Services,Technology,Cellular (applications, devices and infrastructure) ;Venture Capital Firm;;;;
Launch Capital;100000000;6000000;6000000;United States of America;195 Church Street  17th floor;06510;New Haven, CT;Alabama;;;submission@launchcapital.com;https://www.launchcapital.com/;Early Stage,Later Stage,Seed;Communication & Computer Networks,Software,Technology,Cellular (applications, devices and infrastructure) ;Venture Capital Firm,Private Equity Firm;;;;
Pantera Capital;1000000000;9000000;9000000;United States of America;3000 Sand Hill Road, Ste. 1-235;94025;Menlo Park CA;California;;;ir@panteracapital.com;https://www.panteracapital.com/;Early Stage,Seed;Financial Services,Technology;Venture Capital Firm;;;;
Fireside Ventures;10000000000;10000000;10000000;India;;;Bengaluru;;;;contact@firesideventures.com;https://firesideventures.com/;Early Stage,Seed,StartUp;Education,Consumer Products,Consumer Services,Food & Ingredients,Food and Beverage (Including: Restaurant, coffee, Bakery, Bar, Buffer, Deli, Fast Food & Ice cream),Industrial Products;Venture Capital Firm;;;;
Hyperplane Venture Capital;10000000000;50000000;50000000;United States of America;;;Boston, MA;Alabama;;;;https://hyperplane.vc/;Early Stage,Seed;Technology,Cellular (applications, devices and infrastructure) ;Venture Capital Firm;;;;
Wamda Capital;100000000;5000000;5000000;United arab emirates;Dubai Design District (d3)  P.O.Box 333231;;dubai;;;;info@wamdacapital.com;http://wamdacapital.com/;Early Stage,Seed;Computer Hardware,Electronics,Financial Services,Food & Ingredients,Food and Beverage (Including: Restaurant, coffee, Bakery, Bar, Buffer, Deli, Fast Food & Ice cream),Media & Entertainment (Including Television, Radio, Newspapers, Internet & Film Production),Software,Advertising & Marketing;Venture Capital Firm;;;;
Force Over Mass Capital;10000000000;8000000;8000000;United Kingdom;Michelin House 81 Fulham Road;SW3 6RD;London;England;+44 (0) 203 826 0335;;info@fomcap.com;https://fomcap.com/about-us;Early Stage,Seed;Electronics,Communication & Computer Networks,Software,Technology,Cellular (applications, devices and infrastructure) ;Venture Capital Firm;;;;
